##ONCOENRICHR_DB_VERSION = 20250919
name	url	description	version	key	resource_type	license
oncoEnrichR	https://github.com/sigven/oncoEnrichR	R package for functional interrogation of genesets in the context of cancer	v1.6.0	oncoEnrichR	software	MIT
clusterProfiler	https://guangchuangyu.github.io/software/clusterProfiler/	A universal enrichment tool for interpreting omics data (R package)	v4.16.0	clusterProfiler	software	Artistic-2.0
OmnipathR	https://omnipathdb.org/	Access to datasets on prior molecular knowledge: gene regulatory interactions, enzyme-PTM relationships, protein complexes, protein annotations etc.	v3.16.0	omnipathr	software	MIT
hu.MAP	http://humap2.proteincomplexes.org/	Human Protein Complex Map	v2.0	humap2	db	CC0 1.0
CORUM	http://mips.helmholtz-muenchen.de/corum/	Largest and most comprehensive publicly available dataset of manually curated mammalian protein complexes	v5.0	corum	db	CC-BY 4.0
Compleat	https://fgr.hms.harvard.edu/compleat	Protein complex resource	v1.0	compleat	db	Open Access
ComplexPortal	https://www.ebi.ac.uk/complexportal/home	Manually curated, encyclopaedic resource of macromolecular complexes	v1.0.2	complexportal	db	CC0 1.0
phenOncoX	https://github.com/sigven/phenOncoX	Crossmapped phenotype ontologies for the oncology domain	v0.9.3	phenOncoX	software	MIT
STRING	https://string-db.org	Protein-protein interaction database	v12.0	string	db	CC-BY 4.0
BIOGRID	https://thebiogrid.org/	Database of Protein, Genetic and Chemical Interactions	v4.4.249	biogrid	db	MIT
GENCODE	https://www.gencodegenes.org/	High quality reference gene annotation and experimental validation	v48	gencode	db	Open Access
The Cancer Genome Atlas (TCGA)	https://cancergenome.nih.gov	Tumor gene expression and somatic DNA aberrations across a large cohort of tumor samples	v43.0 (May 2025)	tcga	db	Open Access
UniProt	http://www.uniprot.org	Comprehensive resource of protein sequence and functional information	v2025_03	uniprot	db	CC-BY 4.0
NetPath	http://www.netpath.org	Manually curated resource of signal transduction pathways in humans	v1 (2010)	netpath	db	Open Access
EFO	https://github.com/EBISPOT/efo	Experimental Factor Ontology	v3.79.0	efo	db	Apache 2.0
DiseaseOntology	https://github.com/DiseaseOntology	Human Disease Ontology	v2025-06-27	do	db	CC0 1.0
COMPARTMENTS	https://compartments.jensenlab.org/Search	Subcellular localization database	July 2025	compartments	db	CC-BY 4.0
Cell Model Passports/DepMap	https://cellmodelpassports.cancer.ac.uk	A Hub for Preclinical Cancer Models - Annotation, Genomics & Functional Datasets	21Q2_20250624	cellmodeldb	db	CC-BY 4.0
WikiPathways	https://www.wikipathways.org	A database of biological pathways maintained by and for the scientific community	20250910	wikipathway	db	CC0 1.0
MSigDB	http://software.broadinstitute.org/gsea/msigdb/index.jsp	Molecular Signatures Database - collection of annotated gene sets	June 2025 (MSigDB v2025.1.Hs)	msigdb	db	CC-BY 4.0
REACTOME	https://reactome.org	Manually curated and peer-reviewed pathway database	v92 (MSigDB v2025.1.Hs)	reactome	db	CC-BY 4.0
CellChatDB	http://www.cellchat.org/cellchatdb/	Multimeric ligand-receptor complexes	v2 (2024)	cellchatdb	db	GPL v3.0
CollecTRI	https://github.com/saezlab/CollecTRI	Signed transcription factor (TF) - target gene interactions compiled from 12 different resources	v1 (2023)	collectri	db	Open Access
GeneOntology	https://geneontology.org	Knowledgebase that contains the largest structural source of information on the functions of genes	June 2025 (MSigDB v2025.1.Hs)	go	db	CC-BY 4.0
KEGG	https://www.genome.jp/kegg/pathway.html	Collection of manually drawn pathway maps representing our knowledge on the molecular interaction, reaction and relation networks	20250603	kegg	db	.
IntOGen	https://www.intogen.org/search	A compendium of mutational cancer driver genes	2024-09-20	intogen	db	CC0 1.0
CancerMine	http://bionlp.bcgsc.ca/cancermine/	Literature-mined database of tumor suppressor genes/proto-oncogenes	v51 - 20250813	cancermine	db	CC0 1.0
Network of cancer genes (NCG)	http://ncg.kcl.ac.uk/index.php	A web resource to analyze duplicability, orthology and network properties of cancer genes	v7.1	ncg	db	Open Access
InterPro/PFAM	https://www.ebi.ac.uk/interpro/	Collection of protein families/domains	v96 (v36.0)	pfam	db	CC0 1.0
tcga-survival.com	https://tcga-survival.com	Genetic determinants of cancer patient outcome (Smith et al., Cell Reports, 2022)	v2	tcga_survival	db	Open Access
Human Protein Atlas	https://proteinatlas.org	Knowledge resource on human proteins in relation to tissue/cell type specificity and cancer prognosis	v24.0 - 2024.10.22	hpa	db	CC-BY-SA 3.0
Open Targets Platform	https://www.targetvalidation.org	Comprehensive and robust data integration for target-disease associations	2025.09	opentargets	db	CC0 1.0
